Student_ID,Name,Maths,Physics,Biology,Social,Telugu,Hindi,English,Grade
S0063,Student_63,18,79,39,71,34,58,65,No Grade
S0064,Student_64,56,18,AB,70,57,77,2,No Grade
S0065,Student_65,7,74,AB,70,31,80,AB,No Grade
S0066,Student_66,57,14,21,29,AB,58,37,No Grade
S0067,Student_67,34,28,55,20,19,44,100,No Grade
S0068,Student_68,AB,84,76,26,38,9,66,No Grade
S0069,Student_69,30,28,AB,41,55,12,1,No Grade
S0070,Student_70,37,66,17,53,74,71,11,No Grade
S0071,Student_71,71,90,45,77,57,73,34,No Grade
S0072,Student_72,0,1,80,2,34,79,53,No Grade
S0073,Student_73,60,36,AB,63,46,71,59,No Grade
S0074,Student_74,AB,67,83,68,33,92,AB,No Grade
S0075,Student_75,55,76,AB,63,100,AB,68,No Grade
S0076,Student_76,21,24,60,76,51,71,73,No Grade
S0077,Student_77,67,34,65,AB,27,17,14,No Grade
S0078,Student_78,73,75,AB,60,82,36,13,No Grade
S0079,Student_79,AB,65,AB,AB,39,95,79,No Grade
S0080,Student_80,81,15,99,98,6,55,90,No Grade
S0081,Student_81,24,71,68,31,61,46,65,No Grade
S0082,Student_82,60,50,11,95,86,23,72,No Grade
S0083,Student_83,21,84,54,63,92,98,96,No Grade
S0084,Student_84,100,38,77,79,88,40,26,No Grade
S0085,Student_85,22,AB,45,14,23,17,84,No Grade
S0086,Student_86,75,81,AB,30,AB,69,AB,No Grade
S0087,Student_87,AB,70,61,AB,AB,AB,26,No Grade
S0088,Student_88,15,88,57,21,19,31,1,No Grade
S0089,Student_89,65,84,90,86,1,79,5,No Grade
S0090,Student_90,89,AB,88,50,34,68,94,No Grade
S0091,Student_91,44,32,90,55,39,53,15,No Grade
S0092,Student_92,75,AB,39,79,73,AB,67,No Grade
S0093,Student_93,AB,90,11,64,19,55,39,No Grade
S0094,Student_94,80,25,38,74,30,3,7,No Grade
S0095,Student_95,23,72,65,14,AB,95,9,No Grade
S0096,Student_96,70,63,22,41,98,35,33,No Grade
S0097,Student_97,52,56,61,AB,48,33,8,No Grade
S0098,Student_98,29,46,59,34,19,42,16,No Grade
S0099,Student_99,78,64,AB,20,49,17,96,No Grade
S0100,Student_100,AB,80,63,63,47,69,46,No Grade
S0101,Student_101,98,17,75,88,41,8,AB,No Grade
S0102,Student_102,85,AB,96,AB,AB,37,90,No Grade
S0103,Student_103,36,55,68,4,AB,16,100,No Grade
S0104,Student_104,69,84,81,4,39,59,44,No Grade
S0105,Student_105,26,0,5,64,96,59,46,No Grade
S0106,Student_106,30,AB,100,88,86,10,10,No Grade
S0107,Student_107,32,76,90,25,34,1,15,No Grade
S0108,Student_108,29,39,AB,88,39,29,19,No Grade
S0109,Student_109,43,87,26,48,81,42,22,No Grade
S0110,Student_110,3,40,25,AB,30,10,60,No Grade
S0111,Student_111,56,74,12,15,44,93,7,No Grade
S0112,Student_112,AB,18,49,50,26,AB,80,No Grade
S0113,Student_113,13,28,68,86,75,0,39,No Grade
S0114,Student_114,66,68,97,32,38,12,AB,No Grade
S0115,Student_115,91,14,AB,67,46,68,43,No Grade
S0116,Student_116,5,AB,99,61,77,84,46,No Grade
S0117,Student_117,29,72,67,87,88,27,AB,No Grade
S0118,Student_118,97,91,33,93,AB,69,97,No Grade
S0119,Student_119,58,93,60,100,29,93,AB,No Grade
S0120,Student_120,64,18,26,84,35,97,91,No Grade
S0121,Student_121,40,5,98,99,84,44,27,No Grade
S0122,Student_122,78,74,10,22,10,65,54,No Grade
S0123,Student_123,AB,50,87,91,7,48,17,No Grade
S0124,Student_124,21,89,AB,64,13,88,AB,No Grade
S0125,Student_125,33,96,27,84,83,66,12,No Grade
S0126,Student_126,AB,23,22,98,67,AB,49,No Grade
S0127,Student_127,0,AB,84,59,94,100,3,No Grade
S0128,Student_128,37,93,87,58,AB,12,75,No Grade
S0129,Student_129,51,62,54,74,20,67,81,No Grade
S0130,Student_130,80,32,33,7,82,40,61,No Grade
S0131,Student_131,79,22,6,77,AB,AB,AB,No Grade
S0132,Student_132,60,7,AB,7,41,65,38,No Grade
S0133,Student_133,39,72,8,58,44,98,33,No Grade
S0134,Student_134,26,18,85,59,7,97,AB,No Grade
S0135,Student_135,29,19,66,33,14,47,63,No Grade
S0136,Student_136,46,3,AB,54,90,29,67,No Grade
S0137,Student_137,51,27,32,97,46,AB,5,No Grade
S0138,Student_138,AB,66,39,96,63,26,91,No Grade
S0139,Student_139,AB,19,69,78,14,71,24,No Grade
S0140,Student_140,9,44,59,40,16,34,79,No Grade
S0141,Student_141,72,91,21,AB,10,16,31,No Grade
S0142,Student_142,7,47,95,71,30,8,57,No Grade
S0143,Student_143,59,32,4,66,5,AB,61,No Grade
S0144,Student_144,50,72,34,32,94,9,63,No Grade
S0145,Student_145,AB,9,8,AB,55,86,98,No Grade
S0146,Student_146,77,57,86,94,48,36,12,No Grade
S0147,Student_147,AB,1,AB,48,AB,86,48,No Grade
S0148,Student_148,8,70,5,55,57,92,99,No Grade
S0149,Student_149,74,29,43,56,13,15,AB,No Grade
S0150,Student_150,40,4,7,AB,41,5,11,No Grade
S0151,Student_151,AB,73,39,42,18,36,22,No Grade
S0152,Student_152,13,47,95,88,96,17,49,No Grade
S0153,Student_153,19,28,12,6,64,33,70,No Grade
S0154,Student_154,93,57,24,AB,13,42,77,No Grade
S0155,Student_155,92,85,55,87,79,63,100,E
S0156,Student_156,39,73,44,5,100,AB,40,No Grade
S0157,Student_157,42,39,97,55,90,59,77,B2
S0158,Student_158,82,36,71,48,97,20,9,No Grade
S0159,Student_159,89,61,26,82,52,68,AB,No Grade
S0160,Student_160,10,83,23,59,AB,72,12,No Grade
S0161,Student_161,3,12,65,45,27,90,95,No Grade
S0162,Student_162,12,32,35,49,23,14,67,No Grade
S0163,Student_163,55,22,AB,71,27,62,16,No Grade
S0164,Student_164,88,99,5,79,1,61,68,No Grade
S0165,Student_165,73,86,57,25,71,50,AB,No Grade
S0166,Student_166,8,26,13,10,16,100,28,No Grade
S0167,Student_167,52,AB,42,17,68,93,23,No Grade
S0168,Student_168,77,AB,14,59,57,34,70,No Grade
S0169,Student_169,93,40,32,67,52,72,47,No Grade
S0170,Student_170,59,60,54,67,AB,96,67,No Grade
S0171,Student_171,88,63,27,69,4,86,86,No Grade
S0172,Student_172,14,5,52,72,AB,91,49,No Grade
S0173,Student_173,79,70,14,75,51,33,79,No Grade
S0174,Student_174,AB,40,59,61,23,41,11,No Grade
S0175,Student_175,60,77,60,45,81,35,16,No Grade
S0176,Student_176,59,93,47,81,AB,62,35,No Grade
S0177,Student_177,61,35,AB,19,51,AB,AB,No Grade
S0178,Student_178,32,28,94,6,5,91,51,No Grade
S0179,Student_179,98,63,93,30,22,49,0,No Grade
S0180,Student_180,AB,68,67,33,AB,15,74,No Grade
S0181,Student_181,94,44,94,AB,76,16,73,No Grade
S0182,Student_182,10,13,44,0,31,96,99,No Grade
S0183,Student_183,40,100,71,31,56,59,69,No Grade
S0184,Student_184,33,96,80,AB,57,9,44,No Grade
S0185,Student_185,6,0,45,66,35,38,82,No Grade
S0186,Student_186,70,45,96,38,AB,17,27,No Grade
S0187,Student_187,AB,AB,25,70,8,15,39,No Grade
S0188,Student_188,39,89,41,20,88,27,24,No Grade
S0189,Student_189,77,11,41,40,AB,75,83,No Grade
S0190,Student_190,AB,68,54,61,1,62,92,No Grade
S0191,Student_191,40,55,60,97,94,93,6,No Grade
S0192,Student_192,66,71,31,86,78,20,AB,No Grade
S0193,Student_193,96,2,54,AB,7,34,5,No Grade
S0194,Student_194,84,3,89,20,41,75,95,No Grade
S0195,Student_195,53,67,18,52,50,2,47,No Grade
S0196,Student_196,25,AB,15,9,14,7,97,No Grade
S0197,Student_197,49,67,3,AB,44,29,AB,No Grade
S0198,Student_198,96,54,84,83,46,26,16,No Grade
S0199,Student_199,62,16,41,AB,41,100,97,No Grade
S0200,Student_200,13,95,14,57,47,73,AB,No Grade
S0201,Student_201,78,78,51,62,2,24,27,No Grade
S0202,Student_202,64,70,38,26,61,69,88,No Grade
S0203,Student_203,43,AB,43,AB,AB,AB,4,No Grade
S0204,Student_204,3,12,86,63,17,30,92,No Grade
S0205,Student_205,3,79,18,23,26,AB,23,No Grade
S0206,Student_206,70,56,AB,10,29,1,55,No Grade
S0207,Student_207,AB,24,30,26,22,55,7,No Grade
S0208,Student_208,4,90,3,81,AB,5,31,No Grade
S0209,Student_209,11,90,85,38,45,18,67,No Grade
S0210,Student_210,54,55,56,62,59,10,31,No Grade
S0211,Student_211,23,100,66,72,52,55,31,No Grade
S0212,Student_212,12,35,86,80,91,AB,85,No Grade
S0213,Student_213,98,23,5,71,23,73,82,No Grade
S0214,Student_214,11,AB,AB,91,35,51,AB,No Grade
S0215,Student_215,27,73,75,95,42,6,90,No Grade
S0216,Student_216,34,2,6,98,21,11,53,No Grade
S0217,Student_217,91,35,AB,86,58,2,59,No Grade
S0218,Student_218,49,70,AB,97,47,27,59,No Grade
S0219,Student_219,38,39,10,98,81,84,63,No Grade
S0220,Student_220,9,AB,2,29,95,78,92,No Grade
S0221,Student_221,AB,27,57,10,32,69,51,No Grade
S0222,Student_222,85,73,90,65,12,16,82,No Grade
S0223,Student_223,71,37,47,55,56,76,72,C
S0224,Student_224,74,85,19,AB,58,97,19,No Grade
S0225,Student_225,44,40,1,49,20,50,89,No Grade
S0226,Student_226,96,23,56,AB,69,26,64,No Grade
S0227,Student_227,60,88,76,5,18,52,12,No Grade
S0228,Student_228,61,22,96,99,94,11,60,No Grade
S0229,Student_229,79,52,49,60,70,93,40,B2
S0230,Student_230,5,89,60,22,89,25,1,No Grade
S0231,Student_231,15,31,AB,48,29,3,36,No Grade
S0232,Student_232,8,57,46,72,85,AB,71,No Grade
S0233,Student_233,49,21,AB,42,86,74,99,No Grade
S0234,Student_234,8,30,85,52,60,AB,76,No Grade
S0235,Student_235,57,1,77,37,16,92,85,No Grade
S0236,Student_236,21,31,97,63,79,25,AB,No Grade
S0237,Student_237,11,67,100,84,57,19,29,No Grade
S0238,Student_238,20,67,88,21,93,73,100,No Grade
S0239,Student_239,AB,92,80,AB,16,95,67,No Grade
S0240,Student_240,72,99,6,AB,1,AB,18,No Grade
S0241,Student_241,13,85,1,59,49,94,15,No Grade
S0242,Student_242,5,52,85,17,46,96,38,No Grade
S0243,Student_243,21,38,24,11,97,21,60,No Grade
S0244,Student_244,53,82,83,AB,34,37,12,No Grade
S0245,Student_245,57,12,92,60,56,51,AB,No Grade
S0246,Student_246,63,68,56,42,76,2,14,No Grade
S0247,Student_247,26,53,69,24,52,7,AB,No Grade
S0248,Student_248,AB,59,81,90,3,97,30,No Grade
S0249,Student_249,44,51,7,97,64,40,16,No Grade
S0250,Student_250,24,85,5,38,3,AB,AB,No Grade
S0251,Student_251,93,21,75,38,94,73,6,No Grade
S0252,Student_252,50,49,46,8,3,65,98,No Grade
S0253,Student_253,AB,81,AB,13,70,60,60,No Grade
S0254,Student_254,75,50,58,51,69,78,5,No Grade
S0255,Student_255,45,31,0,32,AB,78,AB,No Grade
S0256,Student_256,76,23,50,90,39,43,93,No Grade
S0257,Student_257,37,80,83,17,59,100,27,No Grade
S0258,Student_258,67,AB,33,76,63,70,20,No Grade
S0259,Student_259,52,AB,62,82,84,64,25,No Grade
S0260,Student_260,58,7,24,25,78,87,15,No Grade
S0261,Student_261,3,11,8,15,45,98,63,No Grade
S0262,Student_262,AB,AB,27,70,4,AB,77,No Grade
S0263,Student_263,47,5,82,63,2,73,AB,No Grade
S0264,Student_264,88,26,18,AB,62,20,71,No Grade
S0265,Student_265,41,92,AB,46,31,95,AB,No Grade
S0266,Student_266,57,81,56,AB,AB,75,23,No Grade
S0267,Student_267,88,37,24,AB,87,70,96,No Grade
S0268,Student_268,62,38,81,90,74,4,46,No Grade
S0269,Student_269,29,96,26,59,66,53,56,No Grade
S0270,Student_270,37,65,24,32,99,AB,43,No Grade
S0271,Student_271,13,19,25,78,37,10,78,No Grade
S0272,Student_272,66,89,84,35,50,69,93,B2
S0273,Student_273,3,76,2,90,AB,AB,17,No Grade
S0274,Student_274,69,7,5,16,3,39,59,No Grade
S0275,Student_275,76,0,AB,10,63,56,18,No Grade
S0276,Student_276,52,AB,23,27,AB,15,37,No Grade
S0277,Student_277,100,4,56,32,54,19,69,No Grade
S0278,Student_278,58,77,AB,25,75,56,86,No Grade
S0279,Student_279,58,7,46,AB,AB,12,48,No Grade
S0280,Student_280,100,15,79,48,14,69,23,No Grade
S0281,Student_281,0,87,4,24,AB,0,62,No Grade
S0282,Student_282,19,41,AB,57,67,32,15,No Grade
S0283,Student_283,29,84,21,AB,34,94,68,No Grade
S0284,Student_284,89,41,15,47,45,80,66,No Grade
S0285,Student_285,86,93,32,12,11,95,33,No Grade
S0286,Student_286,16,84,85,10,37,51,98,No Grade
S0287,Student_287,13,59,15,93,96,28,34,No Grade
S0288,Student_288,20,AB,70,AB,21,24,60,No Grade
S0289,Student_289,59,75,22,89,99,67,14,No Grade
S0290,Student_290,97,62,87,37,47,31,0,No Grade
S0291,Student_291,16,34,95,8,68,54,79,No Grade
S0292,Student_292,90,AB,20,76,40,27,0,No Grade
S0293,Student_293,58,24,76,16,98,61,69,No Grade
S0294,Student_294,78,7,34,AB,26,38,82,No Grade
S0295,Student_295,62,15,65,44,85,27,AB,No Grade
S0296,Student_296,25,43,56,AB,24,AB,43,No Grade
S0297,Student_297,52,AB,13,26,37,98,4,No Grade
S0298,Student_298,26,29,39,56,AB,84,43,No Grade
S0299,Student_299,39,55,97,91,28,86,AB,No Grade
S0300,Student_300,52,77,1,94,AB,23,92,No Grade
S0301,Student_301,18,25,52,25,1,42,AB,No Grade
S0302,Student_302,71,AB,98,97,41,43,84,No Grade
S0303,Student_303,58,62,65,59,12,AB,50,No Grade
S0304,Student_304,19,AB,15,21,78,55,47,No Grade
S0305,Student_305,69,AB,89,29,55,22,97,No Grade
S0306,Student_306,53,18,35,34,68,92,AB,No Grade
S0307,Student_307,41,69,61,45,69,81,48,C
S0308,Student_308,45,93,57,22,93,14,4,No Grade
S0309,Student_309,59,35,AB,23,48,31,14,No Grade
S0310,Student_310,96,80,11,71,79,74,52,No Grade
S0311,Student_311,89,74,10,60,42,86,37,No Grade
S0312,Student_312,41,72,30,60,18,47,77,No Grade
S0313,Student_313,61,76,96,58,AB,100,36,No Grade
S0314,Student_314,45,48,94,43,3,2,35,No Grade
S0315,Student_315,82,93,72,77,AB,44,83,No Grade
S0316,Student_316,35,AB,78,AB,68,30,55,No Grade
S0317,Student_317,72,7,41,46,18,AB,15,No Grade
S0318,Student_318,57,44,5,7,48,100,69,No Grade
S0319,Student_319,AB,AB,25,92,54,18,29,No Grade
S0320,Student_320,0,77,96,AB,54,64,19,No Grade
S0321,Student_321,AB,11,89,AB,36,74,33,No Grade
S0322,Student_322,86,16,18,76,90,43,13,No Grade
S0323,Student_323,38,48,31,65,63,12,91,No Grade
S0324,Student_324,27,1,77,1,95,12,34,No Grade
S0325,Student_325,AB,27,46,46,17,73,29,No Grade
S0326,Student_326,94,46,77,100,29,5,100,No Grade
S0327,Student_327,54,78,54,45,15,75,54,No Grade
S0328,Student_328,20,21,AB,35,53,AB,39,No Grade
S0329,Student_329,17,33,31,30,63,25,55,No Grade
S0330,Student_330,84,AB,39,30,49,49,AB,No Grade
S0331,Student_331,99,81,98,13,78,44,28,No Grade
S0332,Student_332,40,45,41,90,81,27,6,No Grade
S0333,Student_333,63,42,67,27,AB,11,2,No Grade
S0334,Student_334,28,67,71,16,49,17,91,No Grade
S0335,Student_335,95,87,7,62,17,31,74,No Grade
S0336,Student_336,16,90,83,63,11,66,79,No Grade
S0337,Student_337,99,49,31,AB,28,72,AB,No Grade
S0338,Student_338,64,94,40,69,78,100,34,No Grade
S0339,Student_339,9,3,96,AB,AB,35,53,No Grade
S0340,Student_340,59,73,AB,61,74,23,47,No Grade
S0341,Student_341,86,99,96,39,53,58,90,B1
S0342,Student_342,73,100,51,36,AB,72,82,No Grade
S0343,Student_343,4,21,55,1,31,38,25,No Grade
S0344,Student_344,96,AB,56,71,AB,AB,63,No Grade
S0345,Student_345,6,13,80,23,74,55,66,No Grade
S0346,Student_346,55,16,33,24,27,9,AB,No Grade
S0347,Student_347,58,96,62,16,52,26,38,No Grade
S0348,Student_348,8,85,21,59,AB,2,85,No Grade
S0349,Student_349,32,78,AB,64,80,61,66,No Grade
S0350,Student_350,63,87,29,31,86,40,7,No Grade
S0351,Student_351,48,62,98,5,69,1,96,No Grade
S0352,Student_352,96,71,65,47,AB,78,36,No Grade
S0353,Student_353,43,74,31,56,99,72,29,No Grade
S0354,Student_354,7,98,AB,32,38,46,35,No Grade
S0355,Student_355,AB,46,40,29,AB,5,82,No Grade
S0356,Student_356,85,31,28,90,92,AB,83,No Grade
S0357,Student_357,AB,AB,51,54,56,76,57,No Grade
S0358,Student_358,59,63,67,62,74,83,86,E
S0359,Student_359,38,AB,57,AB,15,89,1,No Grade
S0360,Student_360,AB,67,64,6,20,81,98,No Grade
S0361,Student_361,82,AB,76,AB,29,60,86,No Grade
S0362,Student_362,40,88,98,34,81,78,59,No Grade
S0363,Student_363,15,5,30,69,77,98,92,No Grade
S0364,Student_364,AB,47,AB,93,24,43,70,No Grade
S0365,Student_365,93,4,54,37,78,14,77,No Grade
S0366,Student_366,24,78,36,25,61,92,6,No Grade
S0367,Student_367,49,79,53,55,50,100,AB,No Grade
S0368,Student_368,48,4,70,46,62,65,33,No Grade
S0369,Student_369,24,AB,0,22,37,49,57,No Grade
S0370,Student_370,84,86,89,51,45,0,5,No Grade
S0371,Student_371,55,34,9,27,23,75,46,No Grade
S0372,Student_372,75,53,45,84,60,8,6,No Grade
S0373,Student_373,13,82,33,61,41,42,34,No Grade
S0374,Student_374,42,92,77,AB,34,86,66,No Grade
S0375,Student_375,52,67,3,AB,31,32,42,No Grade
S0376,Student_376,AB,8,58,83,41,49,97,No Grade
S0377,Student_377,22,50,22,65,94,3,19,No Grade
S0378,Student_378,AB,36,59,67,19,10,23,No Grade
S0379,Student_379,57,27,18,79,50,36,97,No Grade
S0380,Student_380,93,5,5,66,11,24,24,No Grade
S0381,Student_381,8,29,99,48,38,50,81,No Grade
S0382,Student_382,0,36,45,58,81,77,46,No Grade
S0383,Student_383,39,86,88,38,22,75,99,No Grade
S0384,Student_384,58,8,37,32,13,5,83,No Grade
S0385,Student_385,1,83,68,47,52,61,80,No Grade
S0386,Student_386,11,AB,AB,79,39,13,67,No Grade
S0387,Student_387,70,97,AB,56,26,87,100,No Grade
S0388,Student_388,38,41,87,28,97,25,1,No Grade
S0389,Student_389,24,20,37,1,98,AB,60,No Grade
S0390,Student_390,58,22,AB,67,92,72,AB,No Grade
S0391,Student_391,29,42,AB,82,52,90,81,No Grade
S0392,Student_392,89,AB,20,12,0,70,39,No Grade
S0393,Student_393,43,AB,73,AB,68,55,28,No Grade
S0394,Student_394,59,8,17,72,31,AB,30,No Grade
S0395,Student_395,78,56,68,88,AB,52,49,No Grade
S0396,Student_396,30,65,92,29,86,19,78,No Grade
S0397,Student_397,34,36,44,0,8,81,92,No Grade
S0398,Student_398,94,26,54,7,AB,26,45,No Grade
S0399,Student_399,91,35,16,84,20,25,8,No Grade
S0400,Student_400,87,66,68,42,91,0,98,No Grade
S0401,Student_401,84,65,26,12,88,72,20,No Grade
S0402,Student_402,40,20,27,83,72,92,24,No Grade
S0403,Student_403,73,26,18,50,51,47,97,No Grade
S0404,Student_404,62,96,100,8,19,7,70,No Grade
S0405,Student_405,62,14,27,18,77,90,77,No Grade
S0406,Student_406,55,58,40,18,60,63,8,No Grade
S0407,Student_407,61,43,66,42,82,73,61,B2
S0408,Student_408,0,56,89,93,51,17,45,No Grade
S0409,Student_409,47,63,32,32,73,72,62,No Grade
S0410,Student_410,88,24,67,24,47,36,95,No Grade
S0411,Student_411,51,74,99,94,70,AB,60,No Grade
S0412,Student_412,88,30,86,37,44,32,84,No Grade
S0413,Student_413,67,40,68,25,51,21,68,No Grade
S0414,Student_414,AB,AB,37,86,37,27,69,No Grade
S0415,Student_415,AB,67,AB,AB,11,AB,61,No Grade
S0416,Student_416,21,46,93,99,13,AB,0,No Grade
S0417,Student_417,69,82,AB,26,73,32,98,No Grade
S0418,Student_418,10,AB,42,41,20,91,AB,No Grade
S0419,Student_419,6,27,79,84,68,94,53,No Grade
S0420,Student_420,2,35,16,5,AB,90,75,No Grade
S0421,Student_421,72,97,6,18,24,91,90,No Grade
S0422,Student_422,89,27,46,90,0,95,79,No Grade
S0423,Student_423,40,43,28,49,89,69,66,No Grade
S0424,Student_424,29,AB,71,49,92,AB,70,No Grade
S0425,Student_425,2,49,19,64,35,3,74,No Grade
S0426,Student_426,36,79,49,36,17,71,83,No Grade
S0427,Student_427,26,69,61,13,52,36,AB,No Grade
S0428,Student_428,100,20,54,1,65,99,87,No Grade
S0429,Student_429,5,83,99,25,AB,0,40,No Grade
S0430,Student_430,22,8,30,84,61,26,67,No Grade
S0431,Student_431,58,1,78,57,8,AB,19,No Grade
S0432,Student_432,AB,56,24,68,16,44,57,No Grade
S0433,Student_433,41,AB,69,AB,57,68,58,No Grade
S0434,Student_434,49,99,7,74,31,95,AB,No Grade
S0435,Student_435,97,32,75,43,46,75,96,No Grade
S0436,Student_436,92,6,47,7,83,25,26,No Grade
S0437,Student_437,34,95,57,74,49,AB,78,No Grade
S0438,Student_438,96,30,78,68,45,3,4,No Grade
S0439,Student_439,14,67,31,69,44,65,28,No Grade
S0440,Student_440,28,33,85,26,71,13,5,No Grade
S0441,Student_441,74,AB,AB,95,44,75,8,No Grade
S0442,Student_442,22,15,73,45,64,32,75,No Grade
S0443,Student_443,16,49,35,51,7,88,49,No Grade
S0444,Student_444,65,23,61,91,23,31,98,No Grade
S0445,Student_445,46,20,93,77,80,78,21,No Grade
S0446,Student_446,30,2,40,3,32,15,98,No Grade
S0447,Student_447,54,23,71,23,22,2,89,No Grade
S0448,Student_448,89,5,78,59,7,39,28,No Grade
S0449,Student_449,48,44,11,39,AB,15,80,No Grade
S0450,Student_450,61,5,AB,48,63,1,47,No Grade
S0451,Student_451,71,76,7,61,48,29,9,No Grade
S0452,Student_452,32,26,AB,0,46,100,59,No Grade
S0453,Student_453,6,84,63,27,30,AB,89,No Grade
S0454,Student_454,60,AB,48,100,57,22,47,No Grade
S0455,Student_455,1,66,57,58,39,57,46,No Grade
S0456,Student_456,67,79,AB,72,71,16,100,No Grade
S0457,Student_457,8,77,52,85,100,45,1,No Grade
S0458,Student_458,47,60,89,7,23,38,20,No Grade
S0459,Student_459,88,AB,AB,88,AB,16,21,No Grade
S0460,Student_460,51,44,35,3,79,16,83,No Grade
S0461,Student_461,63,AB,46,AB,40,39,30,No Grade
S0462,Student_462,98,87,38,5,57,56,3,No Grade
S0463,Student_463,82,17,67,26,48,62,17,No Grade
S0464,Student_464,AB,56,93,79,69,91,25,No Grade
S0465,Student_465,66,68,9,31,51,77,39,No Grade
S0466,Student_466,23,67,72,56,AB,98,49,No Grade
S0467,Student_467,22,62,5,82,73,34,0,No Grade
S0468,Student_468,47,5,11,9,78,19,95,No Grade
S0469,Student_469,93,32,67,44,75,81,59,No Grade
S0470,Student_470,92,14,45,50,37,5,67,No Grade
S0471,Student_471,39,82,17,58,74,89,92,No Grade
S0472,Student_472,11,89,33,0,60,5,64,No Grade
S0473,Student_473,31,41,AB,18,65,70,7,No Grade
S0474,Student_474,65,21,54,82,67,28,39,No Grade
S0475,Student_475,16,76,64,16,57,34,3,No Grade
S0476,Student_476,17,14,59,55,56,30,87,No Grade
S0477,Student_477,11,0,41,AB,83,91,29,No Grade
S0478,Student_478,71,2,50,15,21,15,47,No Grade
S0479,Student_479,3,66,AB,92,38,34,60,No Grade
S0480,Student_480,59,17,94,78,43,74,AB,No Grade
S0481,Student_481,45,28,65,51,AB,60,45,No Grade
S0482,Student_482,26,63,98,41,AB,10,86,No Grade
S0483,Student_483,40,9,27,78,5,10,56,No Grade
S0484,Student_484,18,33,58,77,57,21,40,No Grade
S0485,Student_485,26,30,68,29,91,88,26,No Grade
